,Title,Rating,Runtime,IMDB_Score,Action,Adventure,Biography,Comedy,Crime,Documentary,Drama,Family,History,Horror,Music,Mystery,Romance,Sport,Thriller,War,Western,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,Primetime_x,Release Date,Budget,DomesticGross,WorldwideGross
0,The Revenant,3.0,156.0,8.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,119192522,3711.0,474560,4.0,1.0,2015-12-25,135000000,119202240,223702240
1,The Big Short,3.0,130.0,8.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56713841,2529.0,705527,8.0,1.0,2015-12-11,28000000,56390370,87090370
2,Black Mass,3.0,147.0,8.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,62575678,3188.0,22635037,3188.0,0.0,2015-09-18,53000000,62575678,91987157
3,Straight Outta Compton,3.0,123.0,7.1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,161197785,3142.0,60200180,2757.0,0.0,2015-08-14,28000000,161058685,201042998
4,In the Heart of the Sea,4.0,123.0,7.1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24565757,3103.0,11053366,3103.0,1.0,2015-12-11,100000000,24701780,90101780
5,The Wolf of Wall Street,3.0,180.0,8.2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,116900694,2557.0,18361578,2537.0,1.0,2013-12-25,100000000,116900694,391976723
6,The Walk,4.0,122.0,7.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10137502,2509.0,1560299,448.0,0.0,2015-09-30,35000000,10137502,51637502
7,Titanic,4.0,194.0,7.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,600788188,3265.0,28638131,2674.0,1.0,1997-12-19,200000000,658672302,2207615668
8,American Sniper,4.0,97.0,5.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,350126372,3885.0,633456,4.0,1.0,2014-12-25,58000000,350126372,547326372
9,The Conjuring,4.0,137.0,7.2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,137400141,3115.0,41855326,2903.0,1.0,2013-07-19,20000000,137400141,318000141
10,American Hustle,3.0,146.0,8.7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,150117807,2629.0,740455,6.0,1.0,2013-12-13,40000000,150117807,257878294
11,Unbroken,3.0,169.0,8.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,115637895,3301.0,30621445,3131.0,1.0,2014-12-25,65000000,115637895,163442936
12,Goodfellas,4.0,141.0,8.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,46836214,1328.0,6368901,1070.0,0.0,1990-09-19,25000000,46261759,46261759
13,The Aviator,3.0,134.0,7.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,102610330,2530.0,858021,40.0,1.0,2004-12-17,110000000,102608827,208370892
14,Saving Private Ryan,3.0,112.0,7.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,216540909,2807.0,30576104,2463.0,1.0,1998-07-24,65000000,216119491,484819491
15,The Vow,4.0,103.0,6.2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,125014030,3038.0,41202458,2958.0,0.0,2012-02-10,30000000,125014030,197618160
16,Lone Survivor,3.0,121.0,7.6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125095601,3285.0,90872,2.0,1.0,2013-12-25,40000000,125095601,149804632
17,Into the Wild,3.0,130.0,8.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18354356,660.0,212440,4.0,0.0,2007-09-21,20000000,18354356,56822960
18,Woman in Gold,3.0,148.0,8.2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33307793,2011.0,2091551,258.0,0.0,2015-04-01,11000000,33307793,56711115
19,Dallas Buyers Club,4.0,98.0,6.6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,27298285,1110.0,260865,9.0,1.0,2013-11-01,5000000,27298285,56238045
20,Tombstone,3.0,109.0,7.3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,56505065,1955.0,6454752,1504.0,1.0,1993-12-25,25000000,56505065,56505065
21,Argo,3.0,85.0,7.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,136025503,3247.0,19458109,3232.0,0.0,2012-10-12,44500000,136025503,227140757
22,Monster,4.0,109.0,7.3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,34469210,1093.0,86831,4.0,1.0,2003-12-24,5000000,34469210,64240813
23,American Gangster,3.0,116.0,7.9,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,130164645,3110.0,43565115,3054.0,1.0,2007-11-02,100000000,130164645,267985456
24,Almost Famous,4.0,122.0,7.9,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,32534850,2262.0,2314646,131.0,0.0,2000-09-15,60000000,32522352,47371191
25,Bottle Shock,3.0,150.0,8.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4078607,401.0,278075,48.0,0.0,2008-08-06,5000000,4048523,4785806
26,"Yours, Mine and Ours",3.0,129.0,6.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,53412862,3210.0,17461108,3206.0,1.0,2005-11-23,45000000,53359917,72359917
27,The Fighter,3.0,135.0,6.7,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,93617009,2534.0,300010,4.0,1.0,2010-12-10,11000000,93617009,129262388
28,"Girl, Interrupted",2.0,129.0,7.7,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28912646,1935.0,95399,9.0,1.0,1999-12-21,24000000,28871190,28871190
29,Captain Phillips,3.0,101.0,6.3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,107100855,3143.0,25718314,3020.0,0.0,2013-10-11,55000000,107136417,220648184
30,The Pianist,3.0,112.0,7.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,32572577,842.0,111261,6.0,1.0,2002-12-27,35000000,32519322,111854182
31,Blow,3.0,134.0,7.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,52990775,2249.0,12443461,2249.0,0.0,2001-04-06,30000000,52990775,83282296
32,Danny Collins,4.0,113.0,7.8,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5637066,739.0,72459,5.0,0.0,2015-03-20,10000000,5637066,7501132
33,Fruitvale Station,2.0,157.0,7.8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16101339,1086.0,386291,7.0,1.0,2013-07-12,900000,16098998,16928069
34,The Blind Side,3.0,129.0,7.4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,255959475,3407.0,34119372,3110.0,1.0,2009-11-20,35000000,255959475,305705794
35,"McFarland, USA",3.0,128.0,7.2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,44482410,2792.0,11020798,2755.0,0.0,2015-02-20,17000000,44480275,45707924
36,Annabelle,4.0,94.0,7.6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84273813,3215.0,37134255,3185.0,0.0,2014-10-03,6500000,84273813,250673813
37,The Pursuit of Happyness,3.0,123.0,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,163566459,3169.0,26541709,2852.0,1.0,2006-12-15,55000000,162586036,307325633
38,Remember the Titans,2.0,290.0,8.1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,115654751,2803.0,20905831,1865.0,0.0,2000-09-29,30000000,115654751,136706683
39,The Patriot,3.0,140.0,7.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113330342,3061.0,22413710,3061.0,1.0,2000-06-28,110000000,113330342,215300000
40,The Monuments Men,2.0,118.0,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,78031620,3083.0,22003433,3083.0,0.0,2014-02-07,70000000,78031620,158702748
41,Soul Surfer,4.0,99.0,5.4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,43853424,2240.0,10601862,2214.0,0.0,2011-04-08,18000000,43853424,47158652
42,Erin Brockovich,3.0,153.0,7.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,125595205,3070.0,28138465,2848.0,0.0,2000-03-17,50000000,125548685,257805243
43,Pocahontas,2.0,114.0,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,141579773,2757.0,2689714,6.0,1.0,1995-06-10,55000000,141567679,347087906
44,A League of Their Own,3.0,95.0,6.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,107533928,2084.0,13739456,1782.0,1.0,1992-07-01,40000000,107404544,132310685
45,Fear and Loathing in Las Vegas,4.0,88.0,7.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10680275,1130.0,3338590,1126.0,1.0,1998-05-22,18500000,10562387,13594015
46,Kill the Messenger,3.0,106.0,7.1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2450846,427.0,941809,374.0,0.0,2014-10-10,5000000,2450846,2767998
47,A Most Wanted Man,3.0,106.0,6.9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17237855,801.0,2687227,361.0,1.0,2014-07-25,15000000,17237855,36068890
48,Walking Tall,3.0,105.0,6.6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,46437717,2836.0,15501114,2836.0,0.0,2004-04-02,56000000,46213824,47313824
49,Mulan,4.0,110.0,6.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,120620254,2953.0,22745143,2888.0,1.0,1998-06-19,90000000,120618403,303498149
50,Chicago,3.0,138.0,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,170687518,2701.0,2074929,77.0,1.0,2002-12-27,30000000,170687518,307687518
51,Apollo 13,3.0,122.0,6.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,172071312,2347.0,25353380,2197.0,1.0,1995-06-30,65000000,172036360,334065864
52,Finding Neverland,3.0,122.0,6.9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,51680613,1411.0,220524,8.0,1.0,2004-11-12,25000000,51676606,115036108
53,A Few Good Men,3.0,100.0,7.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,141340178,2201.0,15517468,1925.0,1.0,1992-12-11,33000000,140525790,235685612
54,Anastasia,3.0,122.0,7.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,58406347,2511.0,120541,1.0,1.0,1997-11-14,53000000,58297830,139695831
55,Donnie Brasco,4.0,104.0,6.8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,41909762,1593.0,11660216,1503.0,0.0,1997-02-28,35000000,41954997,65303052
56,United Passions,3.0,164.0,7.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,607,10.0,607,10.0,1.0,2015-06-05,30000000,918,168832
57,Friday Night Lights,3.0,131.0,7.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,61255921,3004.0,20269025,2667.0,0.0,2004-10-08,30000000,61188085,61882934
58,Changeling,3.0,137.0,7.2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,35739802,1896.0,489015,15.0,0.0,2008-10-24,55000000,35739802,113805580
59,Defiance,3.0,127.0,7.8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,28644813,1793.0,123513,2.0,1.0,2008-12-31,50000000,28644813,42268745
60,Lord of War,3.0,111.0,7.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,24149632,2814.0,9390144,2814.0,0.0,2005-09-16,42000000,24149632,60437727
61,Unstoppable,4.0,98.0,7.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81562942,3261.0,22688457,3207.0,1.0,2010-11-12,95000000,81562942,169511609
62,Cop Land,4.0,98.0,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44862187,2233.0,13510482,2233.0,0.0,1997-08-15,15000000,44810734,63610734
63,Coach Carter,2.0,121.0,6.9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,67264877,2574.0,24182961,2524.0,0.0,2005-01-14,45000000,67264877,76665507
64,Behind Enemy Lines,3.0,115.0,7.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58856790,2844.0,18736133,2770.0,1.0,2001-11-30,40000000,58855732,58855732
65,The Perfect Storm,4.0,118.0,7.3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,182618434,3407.0,41325042,3407.0,1.0,2000-06-30,120000000,182618434,328711434
66,The Exorcism of Emily Rose,3.0,104.0,6.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,75072454,3045.0,30054300,2981.0,0.0,2005-09-09,18000000,75072454,144529078
67,Bernie,3.0,95.0,6.1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9206470,332.0,85805,3.0,0.0,2012-04-27,6000000,9204489,10106975
68,Philomena,3.0,102.0,7.6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,37709979,1225.0,128435,4.0,1.0,2013-11-22,12000000,37709979,98963392
69,Rescue Dawn,3.0,121.0,7.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5490423,505.0,110326,6.0,1.0,2007-07-04,10000000,5484375,7031838
70,The Bank Job,3.0,83.0,7.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30060660,1613.0,5935256,1603.0,0.0,2008-03-07,20000000,30060660,66143005
71,The Informant!,2.0,115.0,7.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,33316821,2505.0,10464314,2505.0,0.0,2009-09-18,22000000,33316821,41771168
72,Agora,3.0,115.0,6.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,619423,17.0,33262,2.0,1.0,2010-05-28,70000000,619423,38992292
73,World Trade Center,4.0,123.0,7.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,70278893,3021.0,18730762,2957.0,0.0,2006-08-09,65000000,70278893,163295654
74,The Girl Next Door,3.0,133.0,8.1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,14589444,2148.0,6003806,2148.0,0.0,2004-04-09,25000000,14589444,31635150
